# Reporte,Fecha_Reporte,Fecha_Ocurrencia,Hora_Ocurrencia,Cod_Área,Nombre_del_Área,#_Distrito_Reporte,Clasif_Crimen,Cod_Crimen,Descrip_Cod_Crimen,Cod_Modo_Operandi,Edad_Victima,Sexo_Vict,Origen_Victic,Cod_del_Lugar,Descrip_Lugar,Cod_Arma_Usada,Descrip_Arma,Estado,Descrip_Estado,Cod_Crimen_1,Cod_Crimen_2,Cod_Crimen_3,Cod_Crimen_4,Ubicación,Nombre_Calle,Coordenadas_latitud,Coordenadas_Longitud
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,07,Wilshire,0784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
"200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,03,Southwest,0356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002"
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,09,Van Nuys,0964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
220614831,08/18/2022 12:00:00 AM,08/17/2020 12:00:00 AM,1200,06,Hollywood,0666,2,354,THEFT OF IDENTITY,1822 1501 0930 2004,28,M,H,102,SIDEWALK,,,IC,Invest Cont,354,,,,1900    TRANSIENT,,34.0944,-118.3277
231808869,04/04/2023 12:00:00 AM,12/01/2020 12:00:00 AM,2300,18,Southeast,1826,2,354,THEFT OF IDENTITY,1822 0100 0930 0929,41,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9900    COMPTON                      AV,,33.9467,-118.2463
"230110144,04/04/2023 12:00:00 AM,07/03/2020 12:00:00 AM,0900,01,Central,0182,2,354,THEFT OF IDENTITY,0930 0929,25,M,H,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,354,,,,1100 S  GRAND                        AV,,34.0415,-118.262"
220314085,07/22/2022 12:00:00 AM,05/12/2020 12:00:00 AM,1110,03,Southwest,0303,2,354,THEFT OF IDENTITY,0100,27,F,B,248,CELL PHONE STORE,,,IC,Invest Cont,354,,,,2500 S  SYCAMORE                     AV,,34.0335,-118.3537
231309864,04/28/2023 12:00:00 AM,12/09/2020 12:00:00 AM,1400,13,Newton,1375,2,354,THEFT OF IDENTITY,0100,24,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1300 E  57TH                         ST,,33.9911,-118.2521
"211904005,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1220,19,Mission,1974,2,624,BATTERY - SIMPLE ASSAULT,0416,26,M,H,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,624,,,,9000    CEDROS                       AV,,34.2336,-118.4535"
221804943,01/21/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1335,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822 0930,26,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 W  COLDEN                       AV,,33.9492,-118.2739
"221908151,04/12/2022 12:00:00 AM,10/01/2020 12:00:00 AM,0001,19,Mission,1988,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 2024 1817 0360 1258 0507,8,F,H,501,SINGLE FAMILY DWELLING,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,812,821,,,13400    RANGOON                      ST,,34.2285,-118.4258"
"230204214,01/05/2023 12:00:00 AM,02/01/2020 12:00:00 AM,0800,02,Rampart,0201,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0913 0400 0500 0522 1817,7,F,W,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,812,860,,,900 N  MARIPOSA                     AV,,34.0868,-118.2991"
221008844,05/06/2022 12:00:00 AM,11/01/2020 12:00:00 AM,0130,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VALJEAN                      ST,VANOWEN                      AV,34.1939,-118.4859
"230312288,06/01/2023 12:00:00 AM,02/02/2020 12:00:00 AM,0315,03,Southwest,0391,2,354,THEFT OF IDENTITY,0100 0928 0929 0935 1822,56,M,B,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,354,,,,4200    SANTO TOMAS                  DR,,34.0103,-118.3456"
"231805781,02/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,0805,18,Southeast,1802,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,354,,,,400 W  90TH                         ST,,33.9551,-118.2814"
231322474,12/24/2023 12:00:00 AM,01/09/2020 12:00:00 AM,1200,13,Newton,1354,2,354,THEFT OF IDENTITY,0100,23,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4000    WALL                         ST,,34.0112,-118.2716
"210705560,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1800,07,Wilshire,0776,1,230,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",1309 0400,31,F,O,101,STREET,307,VEHICLE,AA,Adult Arrest,230,,,,4500    LOMITA                       ST,,34.0452,-118.3351"
"221016258,09/20/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,10,West Valley,1067,2,956,""LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"",2041 1906 1822,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,5200    GENESTA                      AV,,34.166,-118.5033"
